# Messreihen
# Nr,Temp_C,Speed_mm_s,Dauer_s
# 1,200.0,1.16,380.0
#
sample_seq,millis_ms,kraft_N,temperatur,motor_geschwindigkeit,error_flags,sd_write_us,loop_duration_us
0,465842,1.993,199.94,1.16,0,0,27
1,465842,1.993,199.94,1.16,0,0,1
2,465842,1.993,199.94,1.16,0,0,1
3,465866,1.993,199.94,1.16,0,0,1
4,465916,2.036,199.94,1.16,0,0,3
5,465966,2.033,199.94,1.16,0,0,3
6,466016,2.039,199.94,1.16,0,0,3
7,466066,2.019,199.91,1.16,0,0,3
8,466116,2.021,199.91,1.16,0,0,3
9,466166,1.966,199.91,1.16,0,0,7
10,466216,1.946,199.91,1.16,0,0,3
11,466266,1.941,199.94,1.16,0,0,3
12,466316,1.956,199.94,1.16,0,0,3
13,466366,1.980,199.94,1.16,0,0,3
14,466416,2.003,199.87,1.16,0,0,3
15,466466,1.968,199.87,1.16,0,0,3
16,466516,2.008,199.87,1.16,0,0,27
17,466566,2.037,199.87,1.16,0,0,2
18,466616,1.951,199.87,1.16,0,0,3
19,466666,1.931,199.87,1.16,0,0,3
20,466716,2.014,199.94,1.16,0,0,3
21,466766,2.074,199.94,1.16,0,0,2
22,466816,2.084,199.94,1.16,0,0,3
23,466866,2.022,199.94,1.16,0,0,3
24,466916,2.002,199.83,1.16,0,0,2
25,466966,1.940,199.83,1.16,0,0,2
26,467016,1.931,199.83,1.16,0,0,2
27,467066,2.049,199.94,1.16,0,0,3
28,467116,2.050,199.94,1.16,0,0,3
29,467166,1.995,199.94,1.16,0,0,3
30,467216,2.095,200.02,1.16,0,0,3
31,467266,2.030,200.02,1.16,0,0,3
32,467316,1.957,200.02,1.16,0,0,3
33,467366,1.975,200.02,1.16,0,0,3
34,467416,1.956,199.91,1.16,0,0,2
35,467466,2.036,199.91,1.16,0,0,3
36,467516,2.090,199.91,1.16,0,0,15
37,467566,2.040,199.83,1.16,0,0,3
38,467617,2.028,199.83,1.16,0,0,6
39,467666,1.979,199.83,1.16,0,0,2
40,467716,1.921,199.91,1.16,0,0,3
41,467766,1.977,199.91,1.16,0,0,3
42,467816,1.960,199.91,1.16,0,0,3
43,467866,2.009,199.98,1.16,0,0,3
44,467916,2.059,199.98,1.16,0,0,3
45,467966,2.042,199.98,1.16,0,0,3
46,468016,2.024,199.98,1.16,0,0,7
47,468066,2.034,199.94,1.16,0,0,3
48,468116,2.026,199.94,1.16,0,0,3
49,468166,1.992,199.94,1.16,0,0,2
50,468216,1.949,199.91,1.16,0,0,3
51,468266,2.051,199.91,1.16,0,0,3
52,468316,2.095,199.91,1.16,0,0,3
53,468366,2.045,199.94,1.16,0,0,3
54,468416,2.096,199.94,1.16,0,0,3
55,468466,2.094,199.94,1.16,0,0,3
56,468516,1.985,199.94,1.16,0,0,13
57,468566,1.976,199.94,1.16,0,0,3
58,468616,1.994,199.94,1.16,0,0,3
59,468666,2.047,199.94,1.16,0,0,3
60,468716,2.098,199.94,1.16,0,0,7
61,468766,2.138,199.94,1.16,0,0,3
62,468816,2.137,199.94,1.16,0,0,7
63,468866,2.072,199.98,1.16,0,0,3
64,468916,2.002,199.98,1.16,0,0,3
65,468966,1.980,199.98,1.16,0,0,7
66,469016,2.005,199.87,1.16,0,0,3
67,469066,2.035,199.87,1.16,0,0,3
68,469116,2.108,199.87,1.16,0,0,7
69,469166,2.166,199.91,1.16,0,0,3
70,469216,2.081,199.91,1.16,0,0,6
71,469266,2.045,199.91,1.16,0,0,2
72,469316,2.082,199.91,1.16,0,0,3
73,469366,1.975,199.91,1.16,0,0,10
74,469416,2.022,199.91,1.16,0,0,3
75,469466,2.138,199.91,1.16,0,0,3
76,469516,2.125,199.94,1.16,0,0,13
77,469566,2.101,199.94,1.16,0,0,3
78,469616,2.036,199.94,1.16,0,0,7
79,469666,2.024,199.87,1.16,0,0,3
80,469716,2.000,199.87,1.16,0,0,3
81,469766,1.926,199.87,1.16,0,0,10
82,469816,1.972,199.87,1.16,0,0,3
83,469866,2.115,199.87,1.16,0,0,3
84,469916,2.092,199.87,1.16,0,0,7
85,469966,1.993,199.87,1.16,0,0,3
86,470016,2.071,199.87,1.16,0,0,7
87,470066,2.057,199.87,1.16,0,0,2
88,470116,2.026,199.87,1.16,0,0,3
89,470166,2.078,199.94,1.16,0,0,7
90,470216,2.105,199.94,1.16,0,0,3
91,470266,2.175,199.94,1.16,0,0,3
92,470316,2.153,199.94,1.16,0,0,7
93,470366,2.092,199.94,1.16,0,0,3
94,470416,2.075,199.94,1.16,0,0,7
95,470466,1.966,199.94,1.16,0,0,3
96,470516,1.930,199.94,1.16,0,0,27
97,470566,2.031,199.94,1.16,0,0,11
98,470616,2.061,199.94,1.16,0,0,3
99,470666,2.114,199.98,1.16,0,0,5
100,470716,2.135,199.98,1.16,0,19124,7
101,470766,2.109,199.98,1.16,0,0,3
102,470816,2.069,199.98,1.16,0,0,7
103,470866,2.072,199.98,1.16,0,0,3
104,470916,2.084,199.98,1.16,0,0,3
105,470966,2.143,199.87,1.16,0,0,3
106,471016,2.174,199.87,1.16,0,0,3
107,471066,2.193,199.87,1.16,0,0,3
108,471116,2.106,199.94,1.16,0,0,2
109,471166,2.014,199.94,1.16,0,0,3
110,471216,2.058,199.94,1.16,0,0,7
111,471266,2.085,199.94,1.16,0,0,3
112,471316,2.012,199.94,1.16,0,0,3
113,471366,2.028,199.94,1.16,0,0,7
114,471416,2.116,199.94,1.16,0,0,3
115,471470,2.126,199.91,1.16,0,0,44
116,471516,2.118,199.91,1.16,0,0,7
117,471566,2.141,199.91,1.16,0,0,3
118,471616,2.125,199.94,1.16,0,0,6
119,471666,2.085,199.94,1.16,0,0,3
120,471716,2.023,199.94,1.16,0,0,2
121,471766,2.030,199.94,1.16,0,0,7
122,471816,2.060,200.02,1.16,0,0,3
123,471866,2.059,200.02,1.16,0,0,3
124,471916,2.105,200.02,1.16,0,0,3
125,471966,2.160,199.87,1.16,0,0,3
126,472016,2.093,199.87,1.16,0,0,7
127,472066,2.073,199.87,1.16,0,0,3
128,472116,2.118,199.91,1.16,0,0,3
129,472166,2.052,199.91,1.16,0,0,6
130,472216,2.044,199.91,1.16,0,0,2
131,472266,2.110,199.98,1.16,0,0,3
132,472316,2.112,199.98,1.16,0,0,2
133,472366,2.113,199.98,1.16,0,0,2
134,472416,2.053,199.98,1.16,0,0,6
135,472466,2.064,199.98,1.16,0,0,2
136,472516,2.085,199.98,1.16,0,0,19
137,472566,2.079,199.98,1.16,0,0,2
138,472616,2.267,200.02,1.16,0,0,3
139,472666,2.151,200.02,1.16,0,0,3
140,472716,2.168,200.02,1.16,0,0,3
141,472766,2.211,199.94,1.16,0,0,3
142,472816,2.097,199.94,1.16,0,0,3
143,472866,2.113,199.94,1.16,0,0,3
144,472916,2.187,199.94,1.16,0,0,3
145,472966,2.213,199.94,1.16,0,0,3
146,473016,2.231,199.94,1.16,0,0,3
147,473066,2.172,199.94,1.16,0,0,3
148,473116,2.122,199.94,1.16,0,0,3
149,473166,2.046,199.94,1.16,0,0,3
150,473216,2.009,199.94,1.16,0,0,3
151,473266,2.071,199.98,1.16,0,0,2
152,473316,2.119,199.98,1.16,0,0,2
153,473366,2.166,199.98,1.16,0,0,2
154,473416,2.203,199.94,1.16,0,0,3
155,473466,2.089,199.94,1.16,0,0,3
156,473516,2.025,199.94,1.16,0,0,16
157,473566,2.045,199.94,1.16,0,0,3
158,473616,2.080,199.94,1.16,0,0,3
159,473666,2.175,199.94,1.16,0,0,3
160,473716,2.237,199.94,1.16,0,0,3
161,473766,2.219,200.02,1.16,0,0,2
162,473816,2.191,200.02,1.16,0,0,3
163,473866,2.136,200.02,1.16,0,0,3
164,473916,2.173,199.94,1.16,0,0,3
165,473966,2.197,199.94,1.16,0,0,3
166,474016,2.165,199.94,1.16,0,0,3
167,474066,2.238,199.94,1.16,0,0,3
168,474116,2.282,199.94,1.16,0,0,3
169,474166,2.193,199.94,1.16,0,0,3
170,474216,2.152,199.91,1.16,0,0,3
171,474266,2.137,199.91,1.16,0,0,3
172,474316,2.134,199.91,1.16,0,0,3
173,474366,2.082,199.91,1.16,0,0,3
174,474416,2.011,199.91,1.16,0,0,3
175,474466,2.112,199.91,1.16,0,0,3
176,474516,2.147,199.91,1.16,0,0,9
177,474566,2.052,200.02,1.16,0,0,17
178,474616,2.047,200.02,1.16,0,0,3
179,474666,2.058,200.02,1.16,0,0,7
180,474716,2.097,200.05,1.16,0,0,7
181,474766,2.092,200.05,1.16,0,0,3
182,474816,2.045,200.05,1.16,0,0,3
183,474866,2.080,200.05,1.16,0,0,3
184,474916,2.177,199.94,1.16,0,0,3
185,474966,2.194,199.94,1.16,0,0,3
186,475016,2.172,199.94,1.16,0,0,7
187,475066,2.159,199.98,1.16,0,0,5
188,475116,2.188,199.98,1.16,0,0,7
189,475166,2.137,199.98,1.16,0,0,3
190,475216,2.048,199.98,1.16,0,0,5
191,475266,2.141,199.98,1.16,0,0,3
192,475316,2.264,199.98,1.16,0,0,7
193,475366,2.221,199.98,1.16,0,0,5
194,475416,2.208,199.98,1.16,0,0,6
195,475466,2.222,199.98,1.16,0,0,2
196,475516,2.143,199.98,1.16,0,0,15
197,475566,2.048,199.98,1.16,0,0,3
198,475616,2.004,199.98,1.16,0,0,7
199,475666,2.100,199.98,1.16,0,0,3
200,475716,2.225,200.02,1.16,0,17888,13
201,475766,2.203,200.02,1.16,0,0,3
202,475816,2.180,200.02,1.16,0,0,3
203,475866,2.172,199.94,1.16,0,0,3
204,475916,2.109,199.94,1.16,0,0,3
205,475966,2.112,199.94,1.16,0,0,9
206,476016,2.135,199.94,1.16,0,0,7
207,476066,2.196,199.94,1.16,0,0,3
208,476116,2.282,199.94,1.16,0,0,3
209,476166,2.218,199.94,1.16,0,0,9
210,476216,2.171,200.02,1.16,0,0,3
211,476266,2.179,200.02,1.16,0,0,9
212,476316,2.164,200.02,1.16,0,0,3
213,476366,2.179,199.94,1.16,0,0,3
214,476416,2.141,199.94,1.16,0,0,7
215,476466,2.185,199.94,1.16,0,0,9
216,476516,2.187,199.94,1.16,0,0,13
217,476566,2.089,199.94,1.16,0,0,3
218,476616,2.114,199.94,1.16,0,0,3
219,476666,2.144,199.98,1.16,0,0,3
220,476716,2.091,199.98,1.16,0,0,3
221,476766,2.107,199.98,1.16,0,0,3
222,476816,2.114,199.98,1.16,0,0,7
223,476866,2.130,199.98,1.16,0,0,7
224,476916,2.200,199.98,1.16,0,0,3
225,476966,2.203,199.98,1.16,0,0,3
226,477016,2.211,200.05,1.16,0,0,5
227,477066,2.199,200.05,1.16,0,0,7
228,477116,2.142,200.05,1.16,0,0,2
229,477166,2.110,199.98,1.16,0,0,5
230,477216,2.063,199.98,1.16,0,0,9
231,477266,2.151,199.98,1.16,0,0,7
232,477316,2.274,199.91,1.16,0,0,6
233,477366,2.266,199.91,1.16,0,0,7
234,477416,2.310,199.91,1.16,0,0,3
235,477466,2.312,199.91,1.16,0,0,29
236,477516,2.168,199.94,1.16,0,0,21
237,477566,2.086,199.94,1.16,0,0,3
238,477616,2.142,199.94,1.16,0,0,7
239,477666,2.250,200.02,1.16,0,0,9
240,477716,2.299,200.02,1.16,0,0,3
241,477766,2.192,200.02,1.16,0,0,11
242,477816,2.181,200.02,1.16,0,0,3
243,477866,2.153,200.02,1.16,0,0,13
244,477916,2.083,200.02,1.16,0,0,3
245,477966,2.161,200.02,1.16,0,0,3
246,478016,2.266,199.98,1.16,0,0,7
247,478066,2.268,199.98,1.16,0,0,3
248,478116,2.214,199.98,1.16,0,0,3
249,478166,2.175,200.02,1.16,0,0,3
250,478216,2.156,200.02,1.16,0,0,9
251,478266,2.146,200.02,1.16,0,0,3
252,478316,2.175,200.05,1.16,0,0,3
253,478366,2.131,200.05,1.16,0,0,3
254,478416,2.112,200.05,1.16,0,0,13
255,478466,2.176,200.02,1.16,0,0,3
256,478516,2.206,200.02,1.16,0,0,20
257,478566,2.139,200.02,1.16,0,0,7
